categorias_personas,latitud,longitud,Personas por manzana
1859 a 6299 Personas,4.62896480021e+000,'-7.41750700161e+001,12273
1859 a 6299 Personas,4.61872070187e+000,'-7.41675663271e+001,7650
1859 a 6299 Personas,4.61749973485e+000,'-7.41668589038e+001,6771
1859 a 6299 Personas,4.61881510827e+000,'-7.41304363077e+001,6384
1859 a 6299 Personas,4.63372983977e+000,'-7.41762903196e+001,5636
1859 a 6299 Personas,4.64802467774e+000,'-7.41717548567e+001,5608
759 a 1859 Personas,4.62148746003e+000,'-7.41561854940e+001,5442
759 a 1859 Personas,4.61184785413e+000,'-7.41483098446e+001,5316
759 a 1859 Personas,4.61117746465e+000,'-7.41600987895e+001,5004
1859 a 6299 Personas,4.63148233108e+000,'-7.41765108684e+001,4992
1859 a 6299 Personas,4.62713078286e+000,'-7.41760229570e+001,4824
1859 a 6299 Personas,4.63438268807e+000,'-7.41751184211e+001,4778
1859 a 6299 Personas,4.63331549364e+000,'-7.41774094093e+001,4720
1859 a 6299 Personas,4.63694352762e+000,'-7.41765273305e+001,4716
1859 a 6299 Personas,4.62715712723e+000,'-7.41566092031e+001,4388
1859 a 6299 Personas,4.61885163313e+000,'-7.41321765485e+001,4268
1859 a 6299 Personas,4.61428812029e+000,'-7.41728295111e+001,4194
1859 a 6299 Personas,4.64934041736e+000,'-7.41701851722e+001,4048
1859 a 6299 Personas,4.62757318252e+000,'-7.41480581754e+001,4046
1859 a 6299 Personas,4.60931966487e+000,'-7.41604603614e+001,4024
759 a 1859 Personas,4.61288532490e+000,'-7.41490312204e+001,3975
1859 a 6299 Personas,4.59235322725e+000,'-7.41022227714e+001,3944
759 a 1859 Personas,4.59347512529e+000,'-7.40889204582e+001,3690
1859 a 6299 Personas,4.64722994040e+000,'-7.41663178277e+001,3518
759 a 1859 Personas,4.62943919510e+000,'-7.41767616648e+001,3492
759 a 1859 Personas,4.63373327478e+000,'-7.41711523051e+001,3489
1859 a 6299 Personas,4.62103393261e+000,'-7.41319513459e+001,3457
759 a 1859 Personas,4.59515515485e+000,'-7.40842524992e+001,3402
759 a 1859 Personas,4.62456456883e+000,'-7.41773807744e+001,3340
759 a 1859 Personas,4.61227440076e+000,'-7.41527561842e+001,3324
759 a 1859 Personas,4.61399240315e+000,'-7.41497587608e+001,3324
759 a 1859 Personas,4.63196624333e+000,'-7.41697585017e+001,3126
759 a 1859 Personas,4.61085983680e+000,'-7.41298662363e+001,3018
1859 a 6299 Personas,4.62389095749e+000,'-7.41809059163e+001,2957
759 a 1859 Personas,4.61423842245e+000,'-7.41520616685e+001,2838
1859 a 6299 Personas,4.65076722059e+000,'-7.41717410806e+001,2715
759 a 1859 Personas,4.61891166663e+000,'-7.41662845819e+001,2676
759 a 1859 Personas,4.63263899174e+000,'-7.41706611400e+001,2670
759 a 1859 Personas,4.61266238856e+000,'-7.41635903617e+001,2508
1859 a 6299 Personas,4.65107522408e+000,'-7.41742172396e+001,2498
759 a 1859 Personas,4.60406761170e+000,'-7.41034535910e+001,2418
759 a 1859 Personas,4.62630541455e+000,'-7.41462574718e+001,2334
759 a 1859 Personas,4.61746968752e+000,'-7.40708923430e+001,2332
759 a 1859 Personas,4.60107536343e+000,'-7.41177935969e+001,2328
759 a 1859 Personas,4.63513267352e+000,'-7.41760182212e+001,2284
759 a 1859 Personas,4.61529163306e+000,'-7.41546362131e+001,2268
1859 a 6299 Personas,4.62050063457e+000,'-7.41303967695e+001,2262
759 a 1859 Personas,4.62522866813e+000,'-7.41459762646e+001,2214
305 a 758 Personas,4.60163455682e+000,'-7.41172454240e+001,2169
305 a 758 Personas,4.60962439547e+000,'-7.41308722921e+001,2082
759 a 1859 Personas,4.61893388382e+000,'-7.41352804972e+001,2078
759 a 1859 Personas,4.58838521334e+000,'-7.40980388419e+001,2058
305 a 758 Personas,4.61020108831e+000,'-7.41491250110e+001,1989
759 a 1859 Personas,4.61867740537e+000,'-7.40696691004e+001,1952
759 a 1859 Personas,4.61088352174e+000,'-7.41476209891e+001,1928
305 a 758 Personas,4.61320650417e+000,'-7.41604008235e+001,1902
305 a 758 Personas,4.61281662400e+000,'-7.41508536748e+001,1902
305 a 758 Personas,4.61372711616e+000,'-7.41648444177e+001,1803
305 a 758 Personas,4.59591709956e+000,'-7.40873679025e+001,1773
759 a 1859 Personas,4.59237585364e+000,'-7.41000255446e+001,1768
759 a 1859 Personas,4.64603872390e+000,'-7.41653251212e+001,1763
759 a 1859 Personas,4.58637505578e+000,'-7.41041998477e+001,1760
759 a 1859 Personas,4.63704417191e+000,'-7.40674804793e+001,1760
759 a 1859 Personas,4.64965613306e+000,'-7.41731484927e+001,1749
759 a 1859 Personas,4.63573308971e+000,'-7.41778593065e+001,1742
305 a 758 Personas,4.59568881509e+000,'-7.40850331088e+001,1731
759 a 1859 Personas,4.64619636882e+000,'-7.41700578463e+001,1701
759 a 1859 Personas,4.61413682611e+000,'-7.40819930072e+001,1690
759 a 1859 Personas,4.58700962899e+000,'-7.40902449996e+001,1686
759 a 1859 Personas,4.63853133862e+000,'-7.40623719093e+001,1654
759 a 1859 Personas,4.61816204814e+000,'-7.41446616821e+001,1648
759 a 1859 Personas,4.62735534038e+000,'-7.41717032815e+001,1640
759 a 1859 Personas,4.59036311047e+000,'-7.41007773786e+001,1630
759 a 1859 Personas,4.63653463609e+000,'-7.41785745083e+001,1616
305 a 758 Personas,4.63408970777e+000,'-7.41704718636e+001,1566
759 a 1859 Personas,4.58601387179e+000,'-7.40863100110e+001,1554
759 a 1859 Personas,4.60652029790e+000,'-7.41219012279e+001,1554
759 a 1859 Personas,4.60830373438e+000,'-7.41478104137e+001,1542
305 a 758 Personas,4.61594511826e+000,'-7.41565250769e+001,1536
759 a 1859 Personas,4.61424654744e+000,'-7.41247155494e+001,1494
305 a 758 Personas,4.61368589802e+000,'-7.41481267276e+001,1476
305 a 758 Personas,4.63307703787e+000,'-7.41698654126e+001,1470
305 a 758 Personas,4.58856123630e+000,'-7.40892741991e+001,1470
305 a 758 Personas,4.61114808899e+000,'-7.41618393932e+001,1470
305 a 758 Personas,4.64080874347e+000,'-7.40631372258e+001,1462
759 a 1859 Personas,4.64818472509e+000,'-7.41686703333e+001,1448
305 a 758 Personas,4.61039131622e+000,'-7.41589240879e+001,1446
305 a 758 Personas,4.60402811079e+000,'-7.41193734173e+001,1443
305 a 758 Personas,4.62845042627e+000,'-7.41764334940e+001,1442
305 a 758 Personas,4.63261430610e+000,'-7.41813045486e+001,1420
759 a 1859 Personas,4.60728542927e+000,'-7.41479160309e+001,1414
305 a 758 Personas,4.59096839604e+000,'-7.40853044913e+001,1407
305 a 758 Personas,4.61464583105e+000,'-7.41489063889e+001,1404
305 a 758 Personas,4.62124311866e+000,'-7.40689174262e+001,1400
759 a 1859 Personas,4.62180649649e+000,'-7.40830561856e+001,1369
305 a 758 Personas,4.63605657675e+000,'-7.41797453934e+001,1362
305 a 758 Personas,4.62230645918e+000,'-7.41620393443e+001,1340
305 a 758 Personas,4.63354529399e+000,'-7.41724084031e+001,1332
305 a 758 Personas,4.59900073576e+000,'-7.40924336956e+001,1324
305 a 758 Personas,4.64134282539e+000,'-7.40643192824e+001,1320
305 a 758 Personas,4.63378656210e+000,'-7.41725422736e+001,1317
305 a 758 Personas,4.59348072017e+000,'-7.40836494816e+001,1314
305 a 758 Personas,4.61901432795e+000,'-7.41695264077e+001,1308
305 a 758 Personas,4.63402603190e+000,'-7.41726638518e+001,1308
305 a 758 Personas,4.59452110043e+000,'-7.40904250004e+001,1302
305 a 758 Personas,4.61126982699e+000,'-7.41639018237e+001,1293
305 a 758 Personas,4.61784844339e+000,'-7.41624866458e+001,1290
305 a 758 Personas,4.59320462243e+000,'-7.41013346151e+001,1280
305 a 758 Personas,4.60850950055e+000,'-7.41210448044e+001,1274
759 a 1859 Personas,4.63887953800e+000,'-7.41845383327e+001,1273
759 a 1859 Personas,4.63836561967e+000,'-7.41852768744e+001,1265
305 a 758 Personas,4.59256235280e+000,'-7.40767473305e+001,1264
305 a 758 Personas,4.62740343460e+000,'-7.41467560293e+001,1256
759 a 1859 Personas,4.64804104117e+000,'-7.40580424333e+001,1256
305 a 758 Personas,4.61146493571e+000,'-7.41511717741e+001,1248
305 a 758 Personas,4.60446941835e+000,'-7.40693153040e+001,1248
305 a 758 Personas,4.59869233670e+000,'-7.40916474330e+001,1236
305 a 758 Personas,4.61326113217e+000,'-7.41645910992e+001,1230
305 a 758 Personas,4.62062250104e+000,'-7.41631887074e+001,1228
305 a 758 Personas,4.62389874361e+000,'-7.41780285428e+001,1226
759 a 1859 Personas,4.64708858120e+000,'-7.41685349662e+001,1215
305 a 758 Personas,4.62171881287e+000,'-7.41621663874e+001,1212
305 a 758 Personas,4.62245640014e+000,'-7.41650708902e+001,1200
305 a 758 Personas,4.61449476802e+000,'-7.41319069702e+001,1198
305 a 758 Personas,4.61734941680e+000,'-7.41607876544e+001,1185
305 a 758 Personas,4.61435016041e+000,'-7.41301317299e+001,1184
305 a 758 Personas,4.61044033462e+000,'-7.41628009406e+001,1182
305 a 758 Personas,4.60428461729e+000,'-7.41212798061e+001,1179
